Name	Source	CR	Type	Size	PP	Image	Token	Named
Skretch	Monsters of Drakkenheim	3	Monstrosity	M				FALSE
Skulk	Mordenkainen Presents: Monsters of the Multiverse	0.5	Monstrosity	M				FALSE
Skull Lasher of Myrkul	Baldur's Gate: Descent into Avernus	1	Humanoid	M				FALSE
Skull Lord	Mordenkainen's Tome of Foes	15	Undead	M				FALSE
Skum	Ghosts of Saltmarsh	5	Aberration	M				FALSE
Sky Drake	Lairs of Etharis	4	Dragon	L				FALSE
Skyjek Roc	Guildmasters' Guide to Ravnica	2	Monstrosity	L				FALSE
Skylla	The Wild Beyond the Witchlight	2	Humanoid	M				FALSE
Skyswimmer	Guildmasters' Guide to Ravnica	13	Monstrosity	G				FALSE
Skyweaver	Princes of the Apocalypse	3	Humanoid	M				FALSE
Skywhale	The Griffon's Saddlebag: Book Two	7	Monstrosity	G				FALSE
Slaad Tadpole	Monster Manual (2014)	0.125	Aberration	T				FALSE
Sladis Vadir	Out of the Abyss	2	Humanoid	M				FALSE
Slarkrethel	Storm King's Thunder	25	Monstrosity	G				FALSE
Slicar	Humblewood Tales	0.5	Beast	L				FALSE
Slime Familiar	Humblewood Tales	0.125	Ooze	S				FALSE
Slime King	Humblewood Tales	8	Ooze	L				FALSE
Slimesworn Cultist	Humblewood Tales	2	Ooze	M				FALSE
Slip Tideswell	Humblewood Tales	1	Humanoid	S				TRUE
Slithering Bloodfin	Critical Role: Call of the Netherdeep	9	Aberration	L				FALSE
Slithering Tracker	Volo's Guide to Monsters	3	Ooze	M				FALSE
Sloth Galloper	Lairs of Etharis	1	Beast	L				FALSE
Slow Storm	Tome of Beasts 1	15	Elemental	M				FALSE
Slumber Phantom	The Griffon's Saddlebag: Book Two	23	Undead	L				FALSE
Smaragdine Golem	Tome of Beasts 1	14	Construct	L				FALSE
Smiler the Defiler	Baldur's Gate: Descent into Avernus	7	Fey	M				TRUE
Smoke Mephit	Monster Manual (2014)	0.25	Elemental	S				FALSE
Smoke Mephit (Summoner Variant)	Monster Manual (2014)	0.25	Elemental	S				FALSE
Snap	Humblewood Tales	2	Humanoid	M				TRUE
Snapjaw	Lairs of Etharis	5	Beast	G				FALSE
Snapshadow	Humblewood Tales	5	Humanoid	S				TRUE
Snarl	Lost Mine of Phandelver	0.25	Beast	M				FALSE
Snarla	Tales from the Yawning Portal	5	Humanoid	M				TRUE
Snow Golem	Icewind Dale: Rime of the Frostmaiden	3	Construct	M				FALSE
Snow Maiden	Curse of Strahd	1	Undead	M				FALSE
Snow Queen	Tome of Beasts 1	16	Fey	M				FALSE
Snowy Owlbear	Icewind Dale: Rime of the Frostmaiden	3	Monstrosity	L				FALSE
Snurrevin	Tales from the Yawning Portal	2	Humanoid	M				TRUE
Society of Sensation Muse	Planescape: Adventures in the Multiverse	3	Humanoid	M				FALSE
Solar	Basic Rules (2014)	21	Celestial	L	24	https://www.dndbeyond.com/avatars/thumbnails/30761/809/1000/1000/638061094428241214.png	mftza	FALSE
Solar Bastion Knight	The Book of Many Things	9	Humanoid	M				FALSE
Solar Dragon Wyrmling	Spelljammer: Adventures in Space	3	Dragon	M				FALSE
Soldier	Guildmasters' Guide to Ravnica	0.5	Humanoid	M				FALSE
Soluun Xibrindas	Waterdeep: Dragon Heist	4	Humanoid	M				TRUE
Son of Fenris	Tome of Beasts 1	12	Monstrosity	H				FALSE
Sorrowfish	Critical Role: Call of the Netherdeep	0	Aberration	T				FALSE
Soul Eater	Tome of Beasts 1	7	Fiend	M				FALSE
Soul Monger	Mordenkainen's Tome of Foes	11	Humanoid	M				FALSE
Soul Shaker	Journeys through the Radiant Citadel	4	Undead	L				FALSE
Soulfire Stoker	The Crooked Moon Part Two: Monsters & Adventure Campaign	4	Elemental	M				FALSE
Space Clown	Spelljammer: Adventures in Space	2	Fiend	M				FALSE
Space Eel	Spelljammer: Adventures in Space	0.5	Beast	S				FALSE
Space Guppy	Spelljammer: Adventures in Space	0	Beast	S				FALSE
Space Hamster	Spelljammer: Adventures in Space	0.25	Monstrosity	T				FALSE
Space Mollymawk	Spelljammer: Adventures in Space	0	Beast	S				FALSE
Space Swine	Spelljammer: Adventures in Space	0.25	Beast	M				FALSE
Spark	Tome of Beasts 1	7	Elemental	T				FALSE
Spawn of Akyishigal	Tome of Beasts 1	5	Fiend	M				FALSE
Spawn of Arbeyach	Tome of Beasts 1	5	Fiend	M				FALSE
Spawn of Kyuss	Mordenkainen Presents: Monsters of the Multiverse	5	Undead	M				FALSE
Speaking Skull	Monsters of Drakkenheim	0.25	Undead	T				FALSE
Spectator	Basic Rules (2014)	3	Aberration	M	16	https://www.dndbeyond.com/avatars/thumbnails/30761/998/1000/1000/638061102728373114.png	5m5rr	FALSE
Specter	Basic Rules (2014)	1	Undead	M	10	https://www.dndbeyond.com/avatars/thumbnails/30835/892/1000/1000/638063923271035686.png	8ppme	FALSE
Spectral Cloud	Bigby Presents: Glory of the Giants	13	Undead	H				FALSE
Spectral Guardian	Tome of Beasts 1	6	Undead	M				FALSE
Spell Leech	Monsters of Drakkenheim	1	Monstrosity	T				FALSE
Spellcaster - Healer	Dragon of Icespire Peak	1	Humanoid	M				FALSE
Spellcaster - Mage	Dragon of Icespire Peak	1	Humanoid	M				FALSE
Spellix Romwod	Icewind Dale: Rime of the Frostmaiden	0.5	Humanoid	S				FALSE
Sperm Whale	Icewind Dale: Rime of the Frostmaiden	8	Beast	G				FALSE
Sphinx of Judgment	Guildmasters' Guide to Ravnica	11	Monstrosity	L				FALSE
Spider	Basic Rules (2014)	0	Beast	T	10	https://www.dndbeyond.com/avatars/thumbnails/16/575/1000/1000/636376359864842950.jpeg	5uzyc	FALSE
Spider King	Out of the Abyss	1	Beast	L				FALSE
Spider of Leng	Tome of Beasts 1	7	Aberration	L				FALSE
Spider Thief	Tome of Beasts 1	2	Construct	S				FALSE
Spiderbait	Out of the Abyss	0.25	Humanoid	S				FALSE
Spiderdragon	Vecna: Eve of Ruin	11	Monstrosity	H				FALSE
Spined Devil	Monster Manual (2014)	2	Fiend	S				FALSE
Spined Dreg	Monsters of Drakkenheim	1	Aberration	M				FALSE
Spinosaurus Dinosaur	Tome of Beasts 1	13	Beast	G				FALSE
Spire Scholar	The Griffon's Saddlebag: Book Two	5	Humanoid	M				FALSE
Spire Student	The Griffon's Saddlebag: Book Two	2	Humanoid	M				FALSE
Spire Walker	Tome of Beasts 1	3	Fey	T				FALSE
Spirit Dragon Wyrmling	Forgotten Realms: Adventures in Faerûn	2	Dragon	M				FALSE
Spirit Naga	Basic Rules (2014)	8	Monstrosity	L	12	https://www.dndbeyond.com/avatars/thumbnails/30833/682/1000/1000/638063870353621782.png	pczem	FALSE
Spirit Statue Mascot	Strixhaven: A Curriculum of Chaos	0.25	Construct	M				FALSE
Spirit Troll	Mordenkainen's Tome of Foes	11	Giant	L				FALSE
Spitting Mimic	Icewind Dale: Rime of the Frostmaiden	5	Monstrosity	L				FALSE
Spleck Smandra	Humblewood Tales	3	Humanoid	M				FALSE
Splugoth the Returned	Acquisitions Incorporated	2	Humanoid	S				FALSE
Spore of Moander	Forgotten Realms: Adventures in Faerûn	12	Plant	H				FALSE
Spore Servant Octopus	Dragons of Stormwreck Isle	1	Plant	L				FALSE
Spotted Lion	Bigby Presents: Glory of the Giants	3	Beast	H	15	https://www.dndbeyond.com/avatars/thumbnails/35952/790/1000/1000/638264236620836640.png	jfunn	FALSE
Spring Eladrin	Mordenkainen's Tome of Foes	10	Fey	M				FALSE
Sprite	Basic Rules (2014)	0.25	Fey	T	13	https://www.dndbeyond.com/avatars/thumbnails/30835/934/1000/1000/638063924408565694.png	9apv2	FALSE
Spy	Basic Rules (2014)	1	Humanoid	M				FALSE
Spythronar Sac	Lairs of Etharis	0	Aberration	T				FALSE
Spythronar Swarm	Lairs of Etharis	2	Aberration	M				FALSE
Spythronar Web	Lairs of Etharis	2	Aberration	L				FALSE
Squabswarm	The Crooked Moon Part Two: Monsters & Adventure Campaign	0.5	Fey	M				FALSE
Squirt the Oilcan	The Wild Beyond the Witchlight	0.25	Construct	T				FALSE
Ssurran Defiler	Spelljammer: Adventures in Space	3	Monstrosity	M				FALSE
Ssurran Poisoner	Spelljammer: Adventures in Space	0.5	Monstrosity	M				FALSE
Stalagma Steelshadow	Waterdeep: Dungeon of the Mad Mage	16	Dragon	H				TRUE
Stalker of Baphomet	Bigby Presents: Glory of the Giants	12	Fiend	H				FALSE
Star Angler	Vecna: Eve of Ruin	8	Monstrosity	L				FALSE
Star Drake	Tome of Beasts 1	15	Dragon	L				FALSE
Star Spawn Grue	Mordenkainen Presents: Monsters of the Multiverse	0.25	Aberration	S				FALSE
Star Spawn Hulk	Mordenkainen Presents: Monsters of the Multiverse	10	Aberration	L				FALSE
Star Spawn Larva Mage	Mordenkainen Presents: Monsters of the Multiverse	16	Aberration	M				FALSE
Star Spawn Mangler	Mordenkainen Presents: Monsters of the Multiverse	5	Aberration	M				FALSE
Star Spawn Seer	Mordenkainen Presents: Monsters of the Multiverse	13	Aberration	M				FALSE
Star Warden	Monsters of Drakkenheim	10	Aberration	H				FALSE
Star-Spawn of Cthulhu	Tome of Beasts 1	15	Fiend	L				FALSE
Starlight Apparition	Spelljammer: Adventures in Space	5	Celestial	M				FALSE
Statue of Lolth	Waterdeep: Dungeon of the Mad Mage	11	Construct	H				FALSE
Steam Golem	Tome of Beasts 1	13	Construct	L				FALSE
Steam Mephit	Basic Rules (2014)	0.25	Elemental	S	10	https://www.dndbeyond.com/avatars/thumbnails/34175/946/1000/1000/638190242330361682.png	4ydar	FALSE
Steam Mephit (Summoner Variant)	Monster Manual (2014)	0.25	Elemental	S				FALSE
Steel Crane	Candlekeep Mysteries	8	Humanoid	M				TRUE
Steel Hawk Captain	The Griffon's Saddlebag: Book Two	8	Humanoid	M				FALSE
Steel Hawk Soldier	The Griffon's Saddlebag: Book Two	3	Humanoid	M				FALSE
Steel Predator	Mordenkainen Presents: Monsters of the Multiverse	16	Construct	L				FALSE
Stegosaurus	Mordenkainen Presents: Monsters of the Multiverse	4	Beast	H				FALSE
Stench Kow	Mordenkainen Presents: Monsters of the Multiverse	0.5	Fiend	L				FALSE
Stirge	Basic Rules (2014)	0.125	Beast	T	9	https://www.dndbeyond.com/avatars/thumbnails/30835/940/1000/1000/638063924522595508.png	p992x	FALSE
Stitcher	Monsters of Drakkenheim	12	Construct	L				FALSE
Stoa Mossbow	Humblewood Tales	0	Humanoid	S				TRUE
Stolos	Infernal Machine Rebuild	6	Humanoid	M				TRUE
Stomping Foot	Acquisitions Incorporated	0	Undead	T				FALSE
Stone Cursed	Mordenkainen's Tome of Foes	1	Construct	M				FALSE
Stone Defender	Mordenkainen's Tome of Foes	4	Construct	M				FALSE
Stone Giant	Basic Rules (2014)	7	Giant	H	14	https://www.dndbeyond.com/avatars/thumbnails/30783/942/1000/1000/638062024167770799.png	4hhgr	FALSE
Stone Giant (variant)	Storm King's Thunder	7	Giant	H				FALSE
Stone Giant Dreamwalker	Mordenkainen Presents: Monsters of the Multiverse	10	Giant	H				FALSE
Stone Giant of Deadstone Cleft	Storm King's Thunder	7	Giant	H				FALSE
Stone Giant of Evil Earth	Bigby Presents: Glory of the Giants	9	Giant	H				FALSE
Stone Giant Rockspeaker	Bigby Presents: Glory of the Giants	16	Giant	H				FALSE
Stone Giant Statue	Storm King's Thunder	0	Construct	H				FALSE
Stone Golem	Basic Rules (2014)	10	Construct	L	10	https://www.dndbeyond.com/avatars/thumbnails/30783/984/1000/1000/638062025138800879.png	4buam	FALSE
Stone Juggernaut	Tomb of Annihilation	12	Construct	L				FALSE
Stonecloak	Waterdeep: Dungeon of the Mad Mage	10	Construct	L				FALSE
Stonemelder	Princes of the Apocalypse	4	Humanoid	M				FALSE
Storm Crab	Bigby Presents: Glory of the Giants	11	Monstrosity	G				FALSE
Storm Giant	Basic Rules (2014)	13	Giant	H	19	https://www.dndbeyond.com/avatars/thumbnails/30783/946/1000/1000/638062024277700853.png	2prcc	FALSE
Storm Giant (Variant)	Storm King's Thunder	13	Giant	H				FALSE
Storm Giant Princess	Storm King's Thunder	13	Giant	H				FALSE
Storm Giant Quintessent	Mordenkainen Presents: Monsters of the Multiverse	16	Giant	H				FALSE
Storm Giant Skeleton	Candlekeep Mysteries	16	Undead	H				FALSE
Storm Giant Tempest Caller	Bigby Presents: Glory of the Giants	20	Giant	H				FALSE
Storm Herald	Bigby Presents: Glory of the Giants	17	Aberration	H				FALSE
Storm Spirit	The Griffon's Saddlebag: Book Two	10	Elemental	H				FALSE
Storm Troll	Monsters of Drakkenheim	7	Giant	L				FALSE
Stormborn Ithjar	Lairs of Etharis	9	Monstrosity	H				FALSE
Strahd von Zarovich	Curse of Strahd	15	Undead	M				TRUE
Strahd Zombie	Curse of Strahd	1	Undead	M				FALSE
Strahd, Master of Death House	Vecna: Eve of Ruin	15	Undead	M				FALSE
Strahd's Animated Armor	Curse of Strahd	6	Construct	M				TRUE
Strangled Vengeful Spirit	Tome of Beasts 1	4	Undead	M				FALSE
Strife	Tome of Beasts 1	3	Fey	S				FALSE
Strig Berserker	Humblewood Tales	2	Humanoid	M				FALSE
Striga	Monsters of Drakkenheim	11	Undead	L				FALSE
Strigoi	Van Richten's Guide to Ravenloft	4	Monstrosity	M				FALSE
Strixhaven Campus Guide	Strixhaven: A Curriculum of Chaos	1	Construct	S				FALSE
Strongheart	The Wild Beyond the Witchlight	4	Humanoid	M				FALSE
Stryx	Tome of Beasts 1	0.125	Monstrosity	T				FALSE
Stryx (Familiar Variant)	Tome of Beasts 1	0.125	Monstrosity	T				FALSE
Stuhac	Tome of Beasts 1	13	Fiend	M				FALSE
Stygian Fat-Tailed Scorpion	Tome of Beasts 1	3	Beast	T				FALSE
Styx Giant	Book of Ebon Tides	8	Giant	L				FALSE
Su-monster	Tomb of Annihilation	1	Monstrosity	M				FALSE
Subek	Tome of Beasts 1	5	Humanoid	L				FALSE
Succubus	Basic Rules (2014)	4	Fiend (shapechanger)	M	15	https://www.dndbeyond.com/avatars/thumbnails/30835/963/1000/1000/638063925132245499.png	v3cwf	FALSE
Sul Khatesh	Eberron: Rising from the Last War	28	Fiend	L				TRUE
Summer Eladrin	Mordenkainen's Tome of Foes	10	Fey	M				FALSE
Sunder Shaman	Guildmasters' Guide to Ravnica	10	Giant	H				FALSE
Sundeth	Waterdeep: Dungeon of the Mad Mage	9	Humanoid	L				TRUE
Sunfly	Planescape: Adventures in the Multiverse	0	Celestial	T				FALSE
Suturefly	Tome of Beasts 1	0.25	Beast	T				FALSE
Svirfneblin Wererat	Out of the Abyss	2	Humanoid	S				FALSE
Swamp Adder	Tome of Beasts 1	0.25	Beast	S				FALSE
Swamp Naga	Tales from the Shadows	6	Monstrosity	L				FALSE
Swanmay	Forgotten Realms: Adventures in Faerûn	3	Fey	M				FALSE
Swarm of Animated Books	Candlekeep Mysteries	0.25	Construct	M				FALSE
Swarm of Bats	Basic Rules (2014)	0.25	Swarm of Tiny beasts	M	11	https://www.dndbeyond.com/avatars/thumbnails/9/906/1000/1000/636334289313689439.jpeg	c2byn	FALSE
Swarm of Bluebees	Humblewood Tales	0.5	Beast	M				FALSE
Swarm of Campestris	The Wild Beyond the Witchlight	1	Plant	M				FALSE
Swarm of Contaminated Insects	Monsters of Drakkenheim	1	Beast	M				FALSE
Swarm of Cranium Rats	Mordenkainen Presents: Monsters of the Multiverse	5	Aberration	M				FALSE
Swarm of Dusktails	Humblewood Tales	0.5	Beast	T				FALSE
Swarm of Fire Dancers	Tome of Beasts 1	7	Elemental	M				FALSE
Swarm of Giant Mosquitoes	The Griffon's Saddlebag: Book Two	1	Beast	L				FALSE
Swarm of Gibberlings	Quests from the Infinite Staircase	3	Fiend	L				FALSE
Swarm of Gimlet Larvae	Humblewood Tales	0.5	Beast	M				FALSE
Swarm of Gimlets	Humblewood Tales	0.5	Beast	M				FALSE
Swarm of Gremishkas	Van Richten's Guide to Ravenloft	2	Monstrosity	M				FALSE
Swarm of Hoard Scarabs	Fizban's Treasury of Dragons	2	Monstrosity	M				FALSE
Swarm of Insects	Basic Rules (2014)	0.5	Beast	M				FALSE
Swarm of Insects (Beetles)	Basic Rules (2014)	0.5	Beast	M				FALSE
Swarm of Insects (Centipedes)	Basic Rules (2014)	0.5	Beast	M				FALSE
Swarm of Insects (Spiders)	Basic Rules (2014)	0.5	Beast	M				FALSE
Swarm of Insects (Wasps)	Basic Rules (2014)	0.5	Beast	M				FALSE
Swarm of Maggots	Van Richten's Guide to Ravenloft	2	Beast	M				FALSE
Swarm of Manabane Scarabs	Tome of Beasts 1	4	Beast	M				FALSE
Swarm of Mechanical Spiders	Waterdeep: Dragon Heist	0.5	Construct	M				FALSE
Swarm of Poisonous Snakes	Basic Rules (2014)	2	Beast	M				FALSE
Swarm of Prismatic Beetles	Tome of Beasts 1	3	Beast	M				FALSE
Swarm of Quippers	Basic Rules (2014)	1	Swarm of Tiny beasts	M	8	https://www.dndbeyond.com/avatars/thumbnails/30849/311/1000/1000/638064499389977008.png	c2byn	FALSE
Swarm of Rain Hornets	The Griffon's Saddlebag: Book Two	2	Elemental	M				FALSE
Swarm of Ratlings	Monsters of Drakkenheim	6	Monstrosity	H				FALSE
Swarm of Rats	Basic Rules (2014)	0.25	Swarm of Tiny beasts	M	10	https://www.dndbeyond.com/avatars/thumbnails/9/908/1000/1000/636334289541603972.jpeg	zqe54	FALSE
Swarm of Rats (Diseased Variant)	Tales from the Yawning Portal	0.25	Beast	M				FALSE
Swarm of Ravens	Basic Rules (2014)	0.25	Swarm of Tiny beasts	M	15	https://www.dndbeyond.com/avatars/thumbnails/16/555/1000/1000/636376341743427326.jpeg	r6jjk	FALSE
Swarm of Rot Grubs	Mordenkainen Presents: Monsters of the Multiverse	0.5	Beast	M				FALSE
Swarm of Scarabs	Van Richten's Guide to Ravenloft	3	Beast	M				FALSE
Swarm of Scorned Familiars	The Griffon's Saddlebag: Book Two	8	Undead	M				FALSE
Swarm of Sluaghs	Tome of Beasts 1	3	Fey	M				FALSE
Swarm of Sorrowfish	Critical Role: Call of the Netherdeep	6	Aberration	M				FALSE
Swarm of Sunflies	Planescape: Adventures in the Multiverse	1	Celestial	M				FALSE
Swarm of Undead Snakes	Explorer's Guide to Wildemount	2	Undead	M				FALSE
Swarm of Wharflings	Tome of Beasts 1	3	Beast	L				FALSE
Swarm of Wolf Spirits	Tome of Beasts 1	6	Undead	L				FALSE
Swarm of Zombie Limbs	Van Richten's Guide to Ravenloft	1	Undead	M				FALSE
Swashbuckler	Mordenkainen Presents: Monsters of the Multiverse	3	Humanoid	M				FALSE
Swavain Basilisk	Explorer's Guide to Wildemount	7	Monstrosity	H				FALSE
Sword Wraith Commander	Mordenkainen Presents: Monsters of the Multiverse	8	Undead	M				FALSE
Sword Wraith Warrior	Mordenkainen Presents: Monsters of the Multiverse	3	Undead	M				FALSE
Sylvira Savikas	Baldur's Gate: Descent into Avernus	12	Humanoid	M				TRUE
Syndra Silvane	Tomb of Annihilation	12	Humanoid	M				FALSE
Sythian Skalderang	Keys from the Golden Vault	7	Humanoid	M				FALSE
Szashune	Out of the Abyss	10	Construct	L				FALSE
Tabaxi Hunter	Tomb of Annihilation	1	Humanoid	M				FALSE
Tabaxi Minstrel	Tomb of Annihilation	0.25	Humanoid	M				FALSE
Talis the White	Tyranny of Dragons	5	Humanoid	M				TRUE
Talisolvanar 'Tally' Fellbranch	Waterdeep: Dragon Heist	0	Humanoid	M				TRUE
Talon Beast	The Book of Many Things	7	Monstrosity	L				FALSE
Tanarukk	Mordenkainen Presents: Monsters of the Multiverse	5	Fiend	M				FALSE
Tanazir Quandrix	Strixhaven: A Curriculum of Chaos	24	Dragon	G				FALSE
Tanker	Monsters of Drakkenheim	5	Construct	L				FALSE
Tarak	Dragons of Stormwreck Isle	1	Humanoid	M				TRUE
Targor Bloodsword	Lost Mine of Phandelver	0.5	Humanoid	M				TRUE
Tarkanan Assassin	Eberron: Rising from the Last War	2	Humanoid	M				FALSE
Tarnhem	Infernal Machine Rebuild	19	Fiend	H				FALSE
Tarrasque	Basic Rules (2014)	30	Monstrosity (titan)	G	10	https://www.dndbeyond.com/avatars/thumbnails/30836/117/1000/1000/638063929008461547.png	23q5b	FALSE
Tarul Var	Tales from the Yawning Portal	13	Undead	M				TRUE
Taryon Darrington	Tal'Dorei Campaign Setting Reborn	9	Humanoid	M				TRUE
Tasha the Witch	Vecna: Eve of Ruin	19	Humanoid	M				TRUE
Tashlyn Yafeera	Waterdeep: Dragon Heist	9	Humanoid	M				TRUE
Tecuziztecatl	Tales from the Yawning Portal	4	Monstrosity	L				TRUE
Telepathic Pentacle	Icewind Dale: Rime of the Frostmaiden	8	Monstrosity	H				FALSE
Tempa Greenkeeper	Humblewood Tales	1	Humanoid	S				TRUE
Tempest Spirit	Bigby Presents: Glory of the Giants	15	Undead	H				FALSE
Temple Dog	Tome of Beasts 1	5	Celestial	M				FALSE
Tendril Puppet	Tome of Beasts 1	2	Plant	M				FALSE
Tentacled Dreg	Monsters of Drakkenheim	2	Aberration	M				FALSE
Terracotta Warrior	Tomb of Annihilation	1	Construct	M				FALSE
Terror Bird	Tales from the Shadows	2	Beast	L				FALSE
Tevor of the Spring Path	Humblewood Campaign Setting	0.25	Humanoid					TRUE
Thavius Kreeg	Baldur's Gate: Descent into Avernus	0.5	Humanoid	M				TRUE
Thaxalia	Tales from the Yawning Portal	9	Aberration	L				TRUE
Thayan Apprentice	Tales from the Yawning Portal	2	Humanoid	M				FALSE
Thayan Warrior	Tales from the Yawning Portal	2	Humanoid	M				FALSE
The Abbot	Curse of Strahd	10	Celestial	M				FALSE
The Algorithm	Monsters of Drakkenheim	30	Construct	G				FALSE
The Angry	Mordenkainen's Tome of Foes	13	Monstrosity	M				FALSE
The Barrow King	The Crooked Moon Part Two: Monsters & Adventure Campaign	22	Undead	L				FALSE
The Beast of Blight	The Crooked Moon Part Two: Monsters & Adventure Campaign	10	Fey	G				FALSE
The Brimstone Behemoth	The Crooked Moon Part Two: Monsters & Adventure Campaign	25	Fiend	G				FALSE
The Chained Reaper	The Crooked Moon Part Two: Monsters & Adventure Campaign	11	Undead	G				FALSE
The Crimson Abbot	The Crooked Moon Part Two: Monsters & Adventure Campaign	8	Undead	L				FALSE
The Demogorgon	Infernal Machine Rebuild	8	Giant	L				FALSE
The Duchess	Monsters of Drakkenheim	18	Aberration	G				FALSE
The Dusk Mother	The Crooked Moon Part Two: Monsters & Adventure Campaign	24	Undead	L				FALSE
The Dusk Queen	Tales from the Shadows	7	Fey	M				TRUE
The Forgotten Behtu	Tome of Beasts 1	0.5	Beast	S				FALSE
The Galloping Headsman	The Crooked Moon Part Two: Monsters & Adventure Campaign	18	Undead	L				FALSE
The Gardener	Quests from the Infinite Staircase	12	Fey	M				TRUE
The Ghostlight Locomotive	The Crooked Moon Part Two: Monsters & Adventure Campaign	4	Construct	G				FALSE
The Godfeather	Humblewood Tales	6	Humanoid	S				TRUE
The Grinning Sinner	The Crooked Moon Part Two: Monsters & Adventure Campaign	9	Humanoid	L				FALSE
The Harvest Terror	The Crooked Moon Part Two: Monsters & Adventure Campaign	6	Fiend	L				FALSE
The Horned King	The Crooked Moon Part Two: Monsters & Adventure Campaign	17	Fiend	G				FALSE
The Hungry	Mordenkainen's Tome of Foes	11	Monstrosity	M				FALSE
The Jinxed Leviathan	The Crooked Moon Part Two: Monsters & Adventure Campaign	23	Monstrosity	G				FALSE
The Keeper	Tales from the Yawning Portal	7	Giant	H				FALSE
The Lonely	Mordenkainen's Tome of Foes	9	Monstrosity	M				FALSE
The Lord of Blades	Eberron: Rising from the Last War	18	Humanoid	M				TRUE
The Lord of Fools	The Crooked Moon Part Two: Monsters & Adventure Campaign	13	Fiend	H				FALSE
The Lost	Mordenkainen's Tome of Foes	7	Monstrosity	M				FALSE
The Painted King	Tales from the Shadows	5	Humanoid	M				TRUE
The Tall Man	The Crooked Moon Part Two: Monsters & Adventure Campaign	20	Fey	H				FALSE
The Thousand Voices, Supreme Soul Vortex	The Griffon's Saddlebag: Book Two	26	Undead	G				FALSE
The Ticktock Man	Tales from the Shadows	5	Fey	S				TRUE
The Vermintoll Abomination	The Crooked Moon Part Two: Monsters & Adventure Campaign	14	Fey	L				FALSE
The Weeping Widow	The Crooked Moon Part Two: Monsters & Adventure Campaign	8	Aberration	M				FALSE
The Whispered Promise	Monsters of Drakkenheim	21	Fiend	L				FALSE
The White Worm	The Crooked Moon Part Two: Monsters & Adventure Campaign	19	Aberration	G				FALSE
The Wicker Man	The Crooked Moon Part Two: Monsters & Adventure Campaign	15	Construct	G				FALSE
The Wild Hunt	The Griffon's Saddlebag: Book Two	8	Undead	H				FALSE
The Wild Titan	The Crooked Moon Part Two: Monsters & Adventure Campaign	21	Giant	G				FALSE
The World Ender	Monsters of Drakkenheim	30	Aberration	G				FALSE
The Wretched	Mordenkainen's Tome of Foes	0.25	Monstrosity	S				FALSE
Theran Chimera	Mythic Odysseys of Theros	7	Monstrosity	L				FALSE
Thessalar	Infernal Machine Rebuild	12	Humanoid	M				FALSE
Thessalar's Homunculus	Infernal Machine Rebuild	0	Construct	T				FALSE
Thessalheart Construct	Infernal Machine Rebuild	0	Construct	T				FALSE
Thessalhydra	Hunt for the Thessalhydra	4	Monstrosity	H				FALSE
Thessalkraken	Infernal Machine Rebuild	14	Monstrosity	G				FALSE
Thing with the Writhing Tail	Monsters of Drakkenheim	24	Aberration	H				FALSE
Think Tank	Monsters of Drakkenheim	19	Monstrosity	L				FALSE
Thorn Durst	Curse of Strahd	3	Undead	S				FALSE
Thorn Slinger	Tales from the Yawning Portal	0.5	Plant	L				FALSE
Thornlamm	Lairs of Etharis	0.25	Plant	S				FALSE
Thorny	Volo's Guide to Monsters	1	Plant	M				FALSE
Thorny Vegepygmy	Mordenkainen Presents: Monsters of the Multiverse	1	Plant	M				FALSE
Thorvin Twinbeard	Waterdeep: Dragon Heist	0	Humanoid	M				TRUE
Thought Spy	Guildmasters' Guide to Ravnica	1	Humanoid	M				FALSE
Thousand Teeth	Ghosts of Saltmarsh	6	Monstrosity	L				FALSE
Three Earrings	Explorer's Guide to Wildemount	2	Humanoid	M				TRUE
Thri-kreen	Monster Manual (2014)	1	Humanoid	M				FALSE
Thri-kreen (psionics variant)	Monster Manual (2014)	1	Humanoid	M				FALSE
Thri-kreen (weapons variant)	Monster Manual (2014)	1	Humanoid	M				FALSE
Thri-kreen Gladiator	Spelljammer: Adventures in Space	7	Monstrosity	M				FALSE
Thri-kreen Hunter	Spelljammer: Adventures in Space	2	Monstrosity	M				FALSE
Thri-kreen Mystic	Spelljammer: Adventures in Space	5	Monstrosity	M				FALSE
Thuellai	Tome of Beasts 1	12	Elemental	H				FALSE
Thug	Basic Rules (2014)	0.5	Humanoid	M				FALSE
Thunderbeast Skeleton	Storm King's Thunder	3	Undead	H				FALSE
Thunderbird	The Griffon's Saddlebag: Book Two	13	Monstrosity	G				FALSE
Thurl Merosska	Princes of the Apocalypse	3	Humanoid	M				TRUE
Thursir	Tome of Beasts 1	3	Giant	L				FALSE
Thurstwell Vanthampur	Baldur's Gate: Descent into Avernus	0.125	Humanoid	M				TRUE
Thwad Underbrew	Waterdeep: Dungeon of the Mad Mage	9	Humanoid	M				TRUE
Tiamat	Tyranny of Dragons	30	Fiend	G				TRUE
Tiefling Muralist	Infernal Machine Rebuild	0.125	Humanoid	M				FALSE
Tiger	Basic Rules (2014)	1	Beast	L	13	https://www.dndbeyond.com/avatars/thumbnails/43939/899/1000/1000/638607434272563738.png	wmzz7	FALSE
Tile Chimera	Tyranny of Dragons	6	Construct	L				FALSE
Time Dragon Wyrmling	Planescape: Adventures in the Multiverse	5	Dragon	M				FALSE
